name,latitude,longitude,time
"Masonic Opera House: What Cheer, IA",41.401397,-92.354629,1/1/04
"Masonic Opera House: What Cheer, IA",41.401397,-92.354629,1/2/04
"Montezuma Opera House: Montezuma, IA",41.584878,-92.527431,1/4/04
"Montezuma Opera House: Montezuma, IA",41.584878,-92.527431,1/5/04
"Montezuma Opera House: Montezuma, IA",41.584878,-92.527431,1/6/04
"North English, IA",41.513898,-92.076289,1/7/04
"Trojan Opera House: Williamsburg, IA",41.661228,-92.009506,1/8/04
"Trojan Opera House: Williamsburg, IA",41.661228,-92.009506,1/9/04
"The Gedney: Independence, IA",42.470465,-91.892778,1/11/04
"The Gedney: Independence, IA",42.470465,-91.892778,1/12/04
"The Gedney: Independence, IA",42.470465,-91.892778,1/13/04
"Monticello Opera House: Monticello, IA",42.238275,-91.186943,1/13/04
"Monticello Opera House: Monticello, IA",42.238275,-91.186943,1/14/04
"Monticello Opera House: Monticello, IA",42.238275,-91.186943,1/15/04
"Cascade Opera House: Cascade, IA",42.298488,-91.014223,1/18/04
"Cascade Opera House: Cascade, IA",42.298488,-91.014223,1/19/04
"Cascade Opera House: Cascade, IA",42.298488,-91.014223,1/20/04
"Mount Pleasant, IA",40.963695,-91.558073,1/20/04
"Central Opera House: Manchester, IA",42.484154,-91.455425,1/21/04
"Central Opera House: Manchester, IA",42.484154,-91.455425,1/22/04
"Central Opera House: Manchester, IA",42.484154,-91.455425,1/23/04
"Central Opera House: Manchester, IA",42.484154,-91.455425,1/23/04
"Odeon Theatre: Marshalltown, IA",42.044255,-92.912339,1/25/04
"Odeon Theatre: Marshalltown, IA",42.044255,-92.912339,1/26/04
"Odeon Theatre: Marshalltown, IA",42.044255,-92.912339,1/27/04
"Coldren Opera House: Iowa City, IA",41.661256,-91.529911,1/28/04
"Coldren Opera House: Iowa City, IA",41.661256,-91.529911,1/29/04
"Coldren Opera House: Iowa City, IA",41.661256,-91.529911,1/30/04
"Coldren Opera House: Iowa City, IA",41.661256,-91.529911,1/31/04
"Macomber Opera House: West Branch, IA",41.672074,-91.345973,2/2/04
"Macomber Opera House: West Branch, IA",41.672074,-91.345973,2/3/04
"Tipton Opera House: Tipton, IA",41.769743,-91.127935,2/4/04
"Tipton Opera House: Tipton, IA",41.769743,-91.127935,2/5/04
"Tipton Opera House: Tipton, IA",41.769743,-91.127935,2/6/04
"Grand Opera House: Anamosa, IA",42.108337,-91.285159,2/8/04
"Grand Opera House: Anamosa, IA",42.108337,-91.285159,2/9/04
"Grand Opera House: Anamosa, IA",42.108337,-91.285159,2/10/04
"Metropolitan Opera House: Owatonna, MN",44.083994,-93.226108,2/11/04
"Metropolitan Opera House: Owatonna, MN",44.083994,-93.226108,2/12/04
"Metropolitan Opera House: Owatonna, MN",44.083994,-93.226108,2/13/04
"Grand Opera House: Faribault, MN",44.296188,-93.29026,2/15/04
"Grand Opera House: Faribault, MN",44.296188,-93.29026,2/16/04
"Grand Opera House: Faribault, MN",44.296188,-93.29026,2/17/04
"Ward Opera House: Waseca, MN",44.017224,-93.588572,2/18/04
"Ward Opera House: Waseca, MN",44.017224,-93.588572,2/19/04
"Ward Opera House: Waseca, MN",44.017224,-93.588572,2/20/04
"Waterville, MN",44.218991,-93.56797,2/22/04
"Waterville, MN",44.218991,-93.56797,2/23/04
"Waterville, MN",44.218991,-93.56797,2/24/04
"Turner Opera House: New Ulm, MN",44.28212,-94.451855,2/25/04
"Turner Opera House: New Ulm, MN",44.28212,-94.451855,2/26/04
"Turner Opera House: New Ulm, MN",44.28212,-94.451855,2/27/04
"Rost's Hall: Saint Peter, MN",44.323838,-93.958529,2/29/04
"Rost's Hall: Saint Peter, MN",44.323838,-93.958529,3/1/04
"Rost's Hall: Saint Peter, MN",44.323838,-93.958529,3/2/04
"Rochester, MN",44.023327,-92.463021,3/3/04
"Rochester, MN",44.023327,-92.463021,3/4/04
"Rochester, MN",44.023327,-92.463021,3/5/04
"Saint Charles, MN",43.969361,-92.065982,3/7/04
"Saint Charles, MN",43.969361,-92.065982,3/8/04
"Saint Charles, MN",43.969361,-92.065982,3/9/04
"Winona, MN",44.050005,-91.639229,3/10/04
"Winona, MN",44.050005,-91.639229,3/11/04
"Winona, MN",44.050005,-91.639229,3/12/04
"Chatfield, MN",43.84463,-92.188091,3/14/04
"Winona, MN",44.050005,-91.639229,3/15/04
"Chatfield, MN",43.84463,-92.188091,3/16/04
