Theater Name,Address,City,State,Date Constructed,Date closed
Aksarben Cinema,2110 South 67th Street ,Omaha,NE,2010,
Alamo Drafthouse Midtown,3201 Farnam Street ,Omaha,NE,2009,
AMC Oakview Plaza 24,3555 South 140th Plaza ,Omaha,NE,1997,
AMC Westroads 14,10000 California Street,Omaha,NE,2008,
Dundee Theatre,4952 Dodge Street,Omaha,NE,1925,
Great Escape Theatres,7440 Crown Point Avenue ,Omaha,NE,2006,
Marcus Majestic Cinema,14304 West Maple Road ,Omaha,NE,1996,
The Ruth Sokolof Theater,1340 Webster Street ,Omaha,NE,2007,
Village Pointe Cinema,304 North 174th Street ,Omaha,NE,2004,
Westwood Cinema 8,2809 South 125th Avenue ,Omaha,NE,1989,
Arbor Theatre,2814 Leavenworth Street ,Omaha,NE,1926,1950
Admiral Theater,150 South 40th Street ,Omaha,NE,1942,1995
Avenue Theatre,2819 Leavenworth Avenue ,Omaha,NE,1926,1959
Beacon Theater,2910 Ames Avenue ,Omaha,NE,1927,1967
Benson Theatre,6054 Maple Street ,Omaha,NE,1930,1950
Berkeley Theatre,1425 S. 13th Street ,Omaha,NE,1936,1955
Besse Theatre,4909 S. 24th Street ,Omaha,NE,1910,1920
Boyd's Theatre,1621 Harney Street ,Omaha,NE,1881,1914
Brandeis Theatre,S. 17th Street and Douglas Street ,Omaha,NE,1910,1959
Cass Theatre,500 N. 16th Street ,Omaha,NE,1945,1955
Chief Theatre,4650 S. 24th Street,Omaha,NE,1947,1970
Cinema Center,2828 S. 82nd Avenue,Omaha,NE,1967,2009
Circle Theatre,524 N. 33rd Street,Omaha,NE,1930,1950
Cooper 70,1410 Douglas Street,Omaha,NE,1919,1975
Corby Theatre,2805 N. 16th Street,Omaha,NE,1926,1955
Diamond Moving Picture Theater,2410 Lake Street,Omaha,NE,1910,1913
Farnam Theatre,1415 Farnam Street,Omaha,NE,1911,1917
Indian Hills Theatre,8601 W. Dodge Road,Omaha,NE,1962,2000
Lothrop Theatre,3212 N. 24th Street,Omaha,NE,1935,1955
Maplewood Twin Cinema,3433 N. 90th Street,Omaha,NE,1972,1995
Military Theatre,2216 Military Avenue,Omaha,NE,1930,1964
Millard Cinema 4,5321 S. 139th Plaza,Omaha,NE,1990,1998
Minne Lusa Theatre,6720 N. 30th Street,Omaha,NE,1935,1955
Muse Theater,2405 Farnam Street,Omaha,NE,1916,1984
Nebraska Theatre,1320 Douglas Street,Omaha,NE,1908,1941
North Star Theatre,2413 Ames Avenue,Omaha,NE,1920,1955
Omaha Theater,1506 Douglas Street,Omaha,NE,1922,1978
Orchard 4 Cinema,13052 Arbor Street,Omaha,NE,1982,2000
Orpheum Theatre,409 South 16th Street,Omaha,NE,1895,1925
Princess Theatre,1319 Farnham Street,Omaha,NE,1926,1933
Q-Cinema 9,5505 S. 120th Street,Omaha,NE,1972,2008
Rialto Theatre,1501 Douglas Street,Omaha,NE,1918,1931
Ritz Theatre,2041 N. 24th Street,Omaha,NE,1935,1965
Six West Theaters,9720 West Dodge Road,Omaha,NE,1969,1999
State Theater,1412 Farnam Street,Omaha,NE,1916,1969
Stockyards Movies 8,3205 L Street,Omaha,NE,1990,2010
Suburban Theatre,4414 N. 24th Street,Omaha,NE,1905,1927
Tivoli Theatre,4922 S. 24th Street,Omaha,NE,1930,1950
